f,ReportedAddress,CrossStreet,Town,State,concate,ReportedDate,Endingleakgrade,Endingleakgradenumber
6015776,1070 BEDFORD ST,,ABINGTON,MA,"1070 BEDFORD ST ABINGTON, MA",9/9/2015,3,3
1505591,11 ADLEY DR,,ABINGTON,MA,"11 ADLEY DR ABINGTON, MA",9/26/2013,3,3
7333066,123 CATHERINE DR,,ABINGTON,MA,"123 CATHERINE DR ABINGTON, MA",4/5/2017,3,3
7321083,1233 WASHINGTON ST,,ABINGTON,MA,"1233 WASHINGTON ST ABINGTON, MA",9/10/2015,3,3
251670,1241 WASHINGTON ST,,ABINGTON,MA,"1241 WASHINGTON ST ABINGTON, MA",9/26/2003,3,3
7323314,138 RANDOLPH ST,,ABINGTON,MA,"138 RANDOLPH ST ABINGTON, MA",8/1/2014,3,3
7337464,140 CHESTNUT ST,,ABINGTON,MA,"140 CHESTNUT ST ABINGTON, MA",8/14/2017,3,3
1740971,141 CHAPEL ST,,ABINGTON,MA,"141 CHAPEL ST ABINGTON, MA",9/3/2014,3,3
2950638,16 HARRISON AVE,,ABINGTON,MA,"16 HARRISON AVE ABINGTON, MA",1/31/2015,3,3
851846,177 CENTRAL ST,,ABINGTON,MA,"177 CENTRAL ST ABINGTON, MA",4/18/2012,3,3
1505600,177 MARGARET RD,,ABINGTON,MA,"177 MARGARET RD ABINGTON, MA",9/26/2013,3,3
321520,18 WASHINGTON ST,,ABINGTON,MA,"18 WASHINGTON ST ABINGTON, MA",4/14/2009,3,3
235571,21 WALKER LN,,ABINGTON,MA,"21 WALKER LN ABINGTON, MA",9/10/2002,3,3
7345234,222 LINWOOD ST,,ABINGTON,MA,"222 LINWOOD ST ABINGTON, MA",6/28/2018,3,3
303321,238 WASHINGTON ST,,ABINGTON,MA,"238 WASHINGTON ST ABINGTON, MA",8/8/2007,3,3
7323312,240 NORTH AVE,,ABINGTON,MA,"240 NORTH AVE ABINGTON, MA",8/19/2014,3,3
7323307,262 ADAMS ST,,ABINGTON,MA,"262 ADAMS ST ABINGTON, MA",8/19/2014,3,3
266424,27 HIGHLAND ST,,ABINGTON,MA,"27 HIGHLAND ST ABINGTON, MA",9/30/2004,3,3
7323315,27 ROCKLAND ST,,ABINGTON,MA,"27 ROCKLAND ST ABINGTON, MA",9/10/2014,3,3
7349726,32 ASHLAND ST,,ABINGTON,MA,"32 ASHLAND ST ABINGTON, MA",12/1/2018,3,3
7324345,32 CLIFF ST,,ABINGTON,MA,"32 CLIFF ST ABINGTON, MA",1/12/2013,3,3
330597,383 ROCKLAND ST,,ABINGTON,MA,"383 ROCKLAND ST ABINGTON, MA",2/3/2010,3,3
287402,4 CHRISTIANSON CIR,,ABINGTON,MA,"4 CHRISTIANSON CIR ABINGTON, MA",4/20/2006,3,3
220341,4 PINE ST,,ABINGTON,MA,"4 PINE ST ABINGTON, MA",8/15/2001,3,3
7349727,428 HIGH ST,,ABINGTON,MA,"428 HIGH ST ABINGTON, MA",12/1/2018,3,3
346527,431 HANCOCK ST,,ABINGTON,MA,"431 HANCOCK ST ABINGTON, MA",5/10/2011,3,3
7341628,45 PEREGRINE RD,,ABINGTON,MA,"45 PEREGRINE RD ABINGTON, MA",2/5/2018,3,3
7327655,467 RANDOLPH ST,,ABINGTON,MA,"467 RANDOLPH ST ABINGTON, MA",7/13/2016,3,3
652840,533 WASHINGTON ST,,ABINGTON,MA,"533 WASHINGTON ST ABINGTON, MA",12/19/2011,3,3
277784,55 MARGARET RD,,ABINGTON,MA,"55 MARGARET RD ABINGTON, MA",8/2/2005,3,3
7337467,57 PEARL ST,,ABINGTON,MA,"57 PEARL ST ABINGTON, MA",8/18/2017,3,3
150431,571 RANDOLPH ST,,ABINGTON,MA,"571 RANDOLPH ST ABINGTON, MA",5/24/1999,3,3
7323313,62 PLAIN ST,,ABINGTON,MA,"62 PLAIN ST ABINGTON, MA",8/18/2014,3,3
6019735,624 BEDFORD ST,,ABINGTON,MA,"624 BEDFORD ST ABINGTON, MA",9/11/2015,3,3
7348429,64 VERNON ST,,ABINGTON,MA,"64 VERNON ST ABINGTON, MA",10/21/2018,3,3
1774228,660 BEDFORD ST,,ABINGTON,MA,"660 BEDFORD ST ABINGTON, MA",10/6/2014,3,3
380666,673 BEDFORD ST,,ABINGTON,MA,"673 BEDFORD ST ABINGTON, MA",8/31/2011,3,3
829352,70 MARGARET RD,,ABINGTON,MA,"70 MARGARET RD ABINGTON, MA",2/14/2012,3,3
7323308,81 BIRCH ST,,ABINGTON,MA,"81 BIRCH ST ABINGTON, MA",8/19/2014,3,3
7323309,83 BLANCHARD TER,,ABINGTON,MA,"83 BLANCHARD TER ABINGTON, MA",12/27/2014,3,3
7323311,9 KAREN LN,,ABINGTON,MA,"9 KAREN LN ABINGTON, MA",9/19/2014,3,3
7334731,93 BROCKTON AVE,,ABINGTON,MA,"93 BROCKTON AVE ABINGTON, MA",5/26/2017,3,3
1739920,93 PEREGRINE RD,,ABINGTON,MA,"93 PEREGRINE RD ABINGTON, MA",8/26/2014,3,3
7349774,937 BEDFORD ST,,ABINGTON,MA,"937 BEDFORD ST ABINGTON, MA",12/12/2018,3,3
301647, ARLINGTON ST, HAYNES CT,ACTON,MA," ARLINGTON ST ACTON, MA",5/15/2007,3,3
234587, BRUCEWOOD RD, PIPER RD,ACTON,MA," BRUCEWOOD RD ACTON, MA",8/21/2002,3,3
3754190, CENTRAL ST, ELM ST,ACTON,MA," CENTRAL ST ACTON, MA",2/28/2015,3,3
123622, CONCORD RD, HORSESHOE DR,ACTON,MA," CONCORD RD ACTON, MA",4/30/1998,3,3
234583, DRIFTWOOD RD, BRUCEWOOD RD,ACTON,MA," DRIFTWOOD RD ACTON, MA",8/21/2002,3,3
249389, EMERSON DR, ALCOTT ST,ACTON,MA," EMERSON DR ACTON, MA",8/8/2003,3,3
154540, FLETCHER ST, MAIN ST,ACTON,MA," FLETCHER ST ACTON, MA",8/18/1999,3,3
7333885, HIGH ST, PARMLEY DR,ACTON,MA," HIGH ST ACTON, MA",4/26/2017,3,3
1396893, LONGFELLOW PIKE, HOSMER ST,ACTON,MA," LONGFELLOW PIKE ACTON, MA",7/24/2012,3,3
126763, MARIAN RD,  ,ACTON,MA," MARIAN RD ACTON, MA",7/29/1998,3,3
7340054, MASSACHUSETTS AVE, DEACON HUNT DR,ACTON,MA," MASSACHUSETTS AVE ACTON, MA",11/28/2017,3,3
235140, MEAD TER, MASSACHUSETTS AV,ACTON,MA," MEAD TER ACTON, MA",9/11/2002,3,3
249520, MUSKET DR, FIFE AND DRUM RD,ACTON,MA," MUSKET DR ACTON, MA",8/15/2003,3,3
292225, NAGOG HILL RD,  ,ACTON,MA," NAGOG HILL RD ACTON, MA",9/7/2006,3,3
284769, PAUL REVERE RD, PATRICK HENRY CIR,ACTON,MA," PAUL REVERE RD ACTON, MA",1/11/2006,3,3
154478, PROSPECT ST, MASSACHUSETTS AV,ACTON,MA," PROSPECT ST ACTON, MA",8/17/1999,3,3
1396925, QUABOAG RD, AGAWAM RD,ACTON,MA," QUABOAG RD ACTON, MA",6/28/2013,3,3
7344008, STOW ST, MAPLE ST,ACTON,MA," STOW ST ACTON, MA",5/12/2018,3,3
43857, WILLOW ST, HOMESTEAD ST,ACTON,MA," WILLOW ST ACTON, MA",10/29/1991,3,3
7332427, WILLOW ST, MARIAN RD,ACTON,MA," WILLOW ST ACTON, MA",3/2/2017,3,3
249848,1 COUGHLIN ST,,ACTON,MA,"1 COUGHLIN ST ACTON, MA",8/18/2003,3,3
7347880,1 DRUMMER RD,,ACTON,MA,"1 DRUMMER RD ACTON, MA",10/1/2018,3,3
1371991,1 FOREST RD,,ACTON,MA,"1 FOREST RD ACTON, MA",3/6/2009,3,3
1635697,1 GRIST MILL RD,,ACTON,MA,"1 GRIST MILL RD ACTON, MA",2/7/2014,3,3
7339384,1 HUCKLEBERRY LN,,ACTON,MA,"1 HUCKLEBERRY LN ACTON, MA",10/28/2017,3,3
7348093,1 WILLIS HOLDEN DR,,ACTON,MA,"1 WILLIS HOLDEN DR ACTON, MA",10/15/2018,3,3
1392193,10 FERNWOOD RD,,ACTON,MA,"10 FERNWOOD RD ACTON, MA",7/12/2012,3,3
248892,10 STOW ST,,ACTON,MA,"10 STOW ST ACTON, MA",7/31/2003,3,3
1392140,11 COUGHLIN ST,,ACTON,MA,"11 COUGHLIN ST ACTON, MA",7/30/2012,3,3
7349779,11 MARIAN RD,,ACTON,MA,"11 MARIAN RD ACTON, MA",12/11/2018,3,3
7349734,12 BILLINGS ST,,ACTON,MA,"12 BILLINGS ST ACTON, MA",12/18/2018,3,3
7348384,12 CONCORD RD,,ACTON,MA,"12 CONCORD RD ACTON, MA",10/18/2018,3,3
7339711,12 CRAIG RD,,ACTON,MA,"12 CRAIG RD ACTON, MA",11/13/2017,3,3
7339724,12 MEADOWBROOK RD,,ACTON,MA,"12 MEADOWBROOK RD ACTON, MA",11/7/2017,3,3
7349149,12 ROBERT RD,,ACTON,MA,"12 ROBERT RD ACTON, MA",11/16/2018,3,3
154544,12 SCHOOL ST,,ACTON,MA,"12 SCHOOL ST ACTON, MA",8/18/1999,3,3
1376969,12 WRIGHT TER,,ACTON,MA,"12 WRIGHT TER ACTON, MA",5/22/2009,3,3
4228647,124 HIGH ST,,ACTON,MA,"124 HIGH ST ACTON, MA",5/18/2015,3,3
7348092,124 SCHOOL ST,,ACTON,MA,"124 SCHOOL ST ACTON, MA",10/14/2018,3,3
7339628,126 PARKER ST,,ACTON,MA,"126 PARKER ST ACTON, MA",11/8/2017,3,3
7346928,128 GREAT RD,,ACTON,MA,"128 GREAT RD ACTON, MA",9/9/2018,3,3
234591,13 COUGHLIN ST,,ACTON,MA,"13 COUGHLIN ST ACTON, MA",8/21/2002,3,3
291934,13 HEMLOCK LN,,ACTON,MA,"13 HEMLOCK LN ACTON, MA",6/23/2006,3,3
268588,13 MARTIN ST,,ACTON,MA,"13 MARTIN ST ACTON, MA",11/17/2004,3,3
7335031,13 NOTRE DAME RD,,ACTON,MA,"13 NOTRE DAME RD ACTON, MA",6/5/2017,3,3
7339426,14 COUGHLIN ST,,ACTON,MA,"14 COUGHLIN ST ACTON, MA",10/28/2017,3,3
1392925,14 HORSESHOE DR,,ACTON,MA,"14 HORSESHOE DR ACTON, MA",7/24/2013,3,3
1372102,14 LOTHROP RD,,ACTON,MA,"14 LOTHROP RD ACTON, MA",5/20/2009,3,3
5200468,143 CENTRAL ST,,ACTON,MA,"143 CENTRAL ST ACTON, MA",7/17/2015,3,3
7346933,147 WILLOW ST,,ACTON,MA,"147 WILLOW ST ACTON, MA",9/7/2018,3,3
249847,15 COUGHLIN ST,,ACTON,MA,"15 COUGHLIN ST ACTON, MA",8/18/2003,3,3
5201064,15 HILLCREST DR,,ACTON,MA,"15 HILLCREST DR ACTON, MA",7/21/2015,3,3
7339906,15 MARTIN ST,,ACTON,MA,"15 MARTIN ST ACTON, MA",11/27/2017,3,3
291935,15 NOTRE DAME RD,,ACTON,MA,"15 NOTRE DAME RD ACTON, MA",6/21/2006,3,3
191980,15 ROBBINS ST,,ACTON,MA,"15 ROBBINS ST ACTON, MA",5/22/2000,3,3
7346934,150 WILLOW ST,,ACTON,MA,"150 WILLOW ST ACTON, MA",9/7/2018,3,3
1392938,16 JUNIPER RIDGE RD,,ACTON,MA,"16 JUNIPER RIDGE RD ACTON, MA",11/2/2012,3,3
237787,16 MAPLE ST,,ACTON,MA,"16 MAPLE ST ACTON, MA",10/31/2002,3,3
268296,162 ARLINGTON ST,,ACTON,MA,"162 ARLINGTON ST ACTON, MA",11/16/2004,3,3
7339379,17 COUNTRYSIDE RD,,ACTON,MA,"17 COUNTRYSIDE RD ACTON, MA",10/18/2017,3,3
3705089,17 WOODBURY LN,,ACTON,MA,"17 WOODBURY LN ACTON, MA",9/8/2014,3,3
5201066,18 PARKER ST,,ACTON,MA,"18 PARKER ST ACTON, MA",7/21/2015,3,3
234656,18 PROSPECT ST,,ACTON,MA,"18 PROSPECT ST ACTON, MA",8/22/2002,3,3
1392020,19 ARBORWOOD RD,,ACTON,MA,"19 ARBORWOOD RD ACTON, MA",7/12/2012,3,3
7340286,19 BILLINGS ST,,ACTON,MA,"19 BILLINGS ST ACTON, MA",12/8/2017,3,3
1373756,194 CENTRAL ST,,ACTON,MA,"194 CENTRAL ST ACTON, MA",5/18/2013,3,3
258205,198 ARLINGTON ST,,ACTON,MA,"198 ARLINGTON ST ACTON, MA",3/25/2004,3,3
1372123,2 ALGONQUIN RD,,ACTON,MA,"2 ALGONQUIN RD ACTON, MA",6/5/2009,3,3
7339473,2 CENTRAL ST,,ACTON,MA,"2 CENTRAL ST ACTON, MA",11/1/2017,3,3
7339574,2 EVERGREEN RD,,ACTON,MA,"2 EVERGREEN RD ACTON, MA",11/7/2017,3,3
7344658,2 HIGH ST,,ACTON,MA,"2 HIGH ST ACTON, MA",5/22/2018,3,3
7346931,2 HIGHLAND RD,,ACTON,MA,"2 HIGHLAND RD ACTON, MA",9/5/2018,3,3
7339579,2 MEADOWBROOK RD,,ACTON,MA,"2 MEADOWBROOK RD ACTON, MA",11/7/2017,3,3
7339878,20 DUGGAN RD,,ACTON,MA,"20 DUGGAN RD ACTON, MA",11/16/2017,3,3
7339381,20 JUNIPER RIDGE RD,,ACTON,MA,"20 JUNIPER RIDGE RD ACTON, MA",10/18/2017,3,3
7339910,204 CENTRAL ST,,ACTON,MA,"204 CENTRAL ST ACTON, MA",11/27/2017,3,3
7339517,21 FAULKNER HILL RD,,ACTON,MA,"21 FAULKNER HILL RD ACTON, MA",11/2/2017,3,3
7340291,21 JOHN SWIFT RD,,ACTON,MA,"21 JOHN SWIFT RD ACTON, MA",12/8/2017,3,3
1392920,21 MAPLE ST,,ACTON,MA,"21 MAPLE ST ACTON, MA",7/1/2010,3,3
1638741,21 PATRIOTS RD,,ACTON,MA,"21 PATRIOTS RD ACTON, MA",3/24/2014,3,3
7339870,21 PAUL REVERE RD,,ACTON,MA,"21 PAUL REVERE RD ACTON, MA",11/21/2017,3,3
1393119,21 WINDMERE DR,,ACTON,MA,"21 WINDMERE DR ACTON, MA",7/3/2012,3,3
7340220,22 BULETTE RD,,ACTON,MA,"22 BULETTE RD ACTON, MA",12/8/2017,3,3
7339519,22 HEMLOCK LN,,ACTON,MA,"22 HEMLOCK LN ACTON, MA",11/4/2017,3,3
7331239,22 HIGH ST,,ACTON,MA,"22 HIGH ST ACTON, MA",1/8/2017,3,3
110149,22 HOSMER ST,,ACTON,MA,"22 HOSMER ST ACTON, MA",3/10/1997,3,3
7346927,23 BIRCH RIDGE RD,,ACTON,MA,"23 BIRCH RIDGE RD ACTON, MA",9/5/2018,3,3
7339879,230 PARKER ST,,ACTON,MA,"230 PARKER ST ACTON, MA",11/15/2017,3,3
43866,24 AGAWAM RD,,ACTON,MA,"24 AGAWAM RD ACTON, MA",9/12/1990,3,3
7340077,24 CONANT ST,,ACTON,MA,"24 CONANT ST ACTON, MA",11/20/2017,3,3
1393082,24 PROSPECT ST,,ACTON,MA,"24 PROSPECT ST ACTON, MA",7/9/2012,3,3
5200252,24 STOW ST,,ACTON,MA,"24 STOW ST ACTON, MA",7/30/2015,3,3
7339881,246 SCHOOL ST,,ACTON,MA,"246 SCHOOL ST ACTON, MA",11/15/2017,3,3
7339708,25 NEWTOWN RD,,ACTON,MA,"25 NEWTOWN RD ACTON, MA",11/7/2017,3,3
1377026,254 MAIN ST,,ACTON,MA,"254 MAIN ST ACTON, MA",6/8/2009,3,3
7347884,26 NASHOBA RD,,ACTON,MA,"26 NASHOBA RD ACTON, MA",9/21/2018,3,3
1372164,261 ARLINGTON ST,,ACTON,MA,"261 ARLINGTON ST ACTON, MA",5/15/2009,3,3
1373813,267 CENTRAL ST,,ACTON,MA,"267 CENTRAL ST ACTON, MA",5/3/2010,3,3
7347266,27 ALCOTT ST,,ACTON,MA,"27 ALCOTT ST ACTON, MA",9/10/2018,3,3
7348389,27 OAKWOOD RD,,ACTON,MA,"27 OAKWOOD RD ACTON, MA",10/6/2018,3,3
7327984,274 MAIN ST,,ACTON,MA,"274 MAIN ST ACTON, MA",7/27/2016,3,3
249413,28 PIPER RD,,ACTON,MA,"28 PIPER RD ACTON, MA",8/14/2003,3,3
7327983,282 MAIN ST,,ACTON,MA,"282 MAIN ST ACTON, MA",7/27/2016,3,3
7339872,29 ALCOTT ST,,ACTON,MA,"29 ALCOTT ST ACTON, MA",11/14/2017,3,3
7339705,29 MAIN ST,,ACTON,MA,"29 MAIN ST ACTON, MA",11/8/2017,3,3
268294,294 ARLINGTON ST,,ACTON,MA,"294 ARLINGTON ST ACTON, MA",11/16/2004,3,3
7332907,3 DORIS RD,,ACTON,MA,"3 DORIS RD ACTON, MA",3/28/2017,3,3
190851,3 JUNIPER RIDGE RD,,ACTON,MA,"3 JUNIPER RIDGE RD ACTON, MA",4/24/2000,3,3
7346831,3 NOTRE DAME RD,,ACTON,MA,"3 NOTRE DAME RD ACTON, MA",8/31/2018,3,3
190878,3 POWDER HORN LN,,ACTON,MA,"3 POWDER HORN LN ACTON, MA",4/25/2000,3,3
7340064,30 SCHOOL ST,,ACTON,MA,"30 SCHOOL ST ACTON, MA",11/13/2017,3,3
1372174,306 ARLINGTON ST,,ACTON,MA,"306 ARLINGTON ST ACTON, MA",5/18/2009,3,3
7339904,31 CENTRAL ST,,ACTON,MA,"31 CENTRAL ST ACTON, MA",11/27/2017,3,3
1665099,31 ELM ST,,ACTON,MA,"31 ELM ST ACTON, MA",6/11/2014,3,3
7323442,315 ARLINGTON ST,,ACTON,MA,"315 ARLINGTON ST ACTON, MA",2/13/2016,3,3
7340087,315 MAIN ST,,ACTON,MA,"315 MAIN ST ACTON, MA",11/30/2017,3,3
7347731,341 GREAT RD,,ACTON,MA,"341 GREAT RD ACTON, MA",9/29/2018,3,3
304288,35 WILLOW ST,,ACTON,MA,"35 WILLOW ST ACTON, MA",8/20/2007,3,3
7331594,352 ARLINGTON ST,,ACTON,MA,"352 ARLINGTON ST ACTON, MA",1/20/2017,3,3
110929,355 ARLINGTON ST,,ACTON,MA,"355 ARLINGTON ST ACTON, MA",4/16/1997,3,3
7339866,36 CONANT ST,,ACTON,MA,"36 CONANT ST ACTON, MA",11/20/2017,3,3
1394243,36 FAULKNER HILL RD,,ACTON,MA,"36 FAULKNER HILL RD ACTON, MA",10/11/2013,3,3
43799,36 GREAT RD,,ACTON,MA,"36 GREAT RD ACTON, MA",10/30/1990,3,3
1393096,38 PROSPECT ST,,ACTON,MA,"38 PROSPECT ST ACTON, MA",7/9/2012,3,3
7339908,385 SUMMER ST,,ACTON,MA,"385 SUMMER ST ACTON, MA",11/21/2017,3,3
7339874,39 CONANT ST,,ACTON,MA,"39 CONANT ST ACTON, MA",11/2/2017,3,3
4228683,39 HIGH ST,,ACTON,MA,"39 HIGH ST ACTON, MA",5/18/2015,3,3
1377904,39 MAIN ST,,ACTON,MA,"39 MAIN ST ACTON, MA",4/19/2011,3,3
3705135,4 KINGMAN RD,,ACTON,MA,"4 KINGMAN RD ACTON, MA",9/4/2014,3,3
7340318,4 LILAC CT,,ACTON,MA,"4 LILAC CT ACTON, MA",12/15/2017,3,3
7348842,4 NASH RD,,ACTON,MA,"4 NASH RD ACTON, MA",11/1/2018,3,3
7346068,40 ETHAN ALLEN DR,,ACTON,MA,"40 ETHAN ALLEN DR ACTON, MA",7/31/2018,3,3
7346900,41 ETHAN ALLEN DR,,ACTON,MA,"41 ETHAN ALLEN DR ACTON, MA",8/31/2018,2,2
192476,41 NASHOBA RD,,ACTON,MA,"41 NASHOBA RD ACTON, MA",6/5/2000,3,3
5201880,417 GREAT RD,,ACTON,MA,"417 GREAT RD ACTON, MA",7/24/2015,3,3
43797,42 CENTRAL ST,,ACTON,MA,"42 CENTRAL ST ACTON, MA",10/22/1990,3,3
249167,42 CONANT ST,,ACTON,MA,"42 CONANT ST ACTON, MA",8/6/2003,3,3
5202089,420 MAIN ST,,ACTON,MA,"420 MAIN ST ACTON, MA",7/24/2015,3,3
248708,423 ARLINGTON ST,,ACTON,MA,"423 ARLINGTON ST ACTON, MA",7/25/2003,3,3
5201623,423 GREAT RD,,ACTON,MA,"423 GREAT RD ACTON, MA",7/24/2015,3,3
1392926,43 HOSMER ST,,ACTON,MA,"43 HOSMER ST ACTON, MA",7/25/2012,3,3
7340057,44 FAULKNER HILL RD,,ACTON,MA,"44 FAULKNER HILL RD ACTON, MA",11/20/2017,3,3
7347882,457 MASSACHUSETTS AVE,,ACTON,MA,"457 MASSACHUSETTS AVE ACTON, MA",9/27/2018,3,3
234592,46 HOSMER ST,,ACTON,MA,"46 HOSMER ST ACTON, MA",8/21/2002,3,3
290509,46 SUMMER ST,,ACTON,MA,"46 SUMMER ST ACTON, MA",6/19/2006,3,3
1392931,47 HOSMER ST,,ACTON,MA,"47 HOSMER ST ACTON, MA",7/25/2012,3,3
3673944,47 STOW ST,,ACTON,MA,"47 STOW ST ACTON, MA",9/4/2014,3,3
1396845,5 BETSY ROSS CIR,,ACTON,MA,"5 BETSY ROSS CIR ACTON, MA",7/2/2012,3,3
234597,5 COUNTRY CLUB RD,,ACTON,MA,"5 COUNTRY CLUB RD ACTON, MA",8/21/2002,3,3
7345314,5 HIGH ST,,ACTON,MA,"5 HIGH ST ACTON, MA",7/1/2018,3,3
7329360,5 JUNIPER RIDGE RD,,ACTON,MA,"5 JUNIPER RIDGE RD ACTON, MA",9/30/2016,3,3
235141,5 MEAD TER,,ACTON,MA,"5 MEAD TER ACTON, MA",9/11/2002,3,3
249423,5 OAKWOOD RD,,ACTON,MA,"5 OAKWOOD RD ACTON, MA",8/12/2003,3,3
7339581,50 CONANT ST,,ACTON,MA,"50 CONANT ST ACTON, MA",11/2/2017,3,3
248887,50 PROSPECT ST,,ACTON,MA,"50 PROSPECT ST ACTON, MA",7/30/2003,3,3
1372151,51 ARLINGTON ST,,ACTON,MA,"51 ARLINGTON ST ACTON, MA",9/1/2009,3,3
1377014,51 MAIN ST,,ACTON,MA,"51 MAIN ST ACTON, MA",9/14/2010,3,3
248712,51 SENECA RD,,ACTON,MA,"51 SENECA RD ACTON, MA",7/23/2003,3,3
7327059,529 MAIN ST,,ACTON,MA,"529 MAIN ST ACTON, MA",6/27/2016,3,3
1392943,53 LIBERTY ST,,ACTON,MA,"53 LIBERTY ST ACTON, MA",2/5/2013,3,3
7340325,53 PARKER ST,,ACTON,MA,"53 PARKER ST ACTON, MA",12/15/2017,3,3
1393087,54 PROSPECT ST,,ACTON,MA,"54 PROSPECT ST ACTON, MA",7/9/2012,3,3
234659,544 MASSACHUSETTS AV,,ACTON,MA,"544 MASSACHUSETTS AV ACTON, MA",8/22/2002,3,3
7347164,55 ALCOTT ST,,ACTON,MA,"55 ALCOTT ST ACTON, MA",9/10/2018,2A,2
1393132,55 WOOD LN,,ACTON,MA,"55 WOOD LN ACTON, MA",7/25/2012,3,3
316134,550 MASSACHUSETTS AVE,,ACTON,MA,"550 MASSACHUSETTS AVE ACTON, MA",11/8/2008,3,3
1396850,56 GREAT RD,,ACTON,MA,"56 GREAT RD ACTON, MA",12/22/2012,3,3
290510,56 SUMMER ST,,ACTON,MA,"56 SUMMER ST ACTON, MA",6/19/2006,3,3
7339783,58 WOOD LN,,ACTON,MA,"58 WOOD LN ACTON, MA",11/8/2017,3,3
7348094,6 BRUCEWOOD RD,,ACTON,MA,"6 BRUCEWOOD RD ACTON, MA",10/15/2018,3,3
1371983,6 DORIS RD,,ACTON,MA,"6 DORIS RD ACTON, MA",6/8/2009,3,3
7339980,6 MUSKET DR,,ACTON,MA,"6 MUSKET DR ACTON, MA",11/30/2017,3,3
5200979,6 OLDE SURREY DR,,ACTON,MA,"6 OLDE SURREY DR ACTON, MA",7/22/2015,3,3
7339832,6 PATRICK HENRY CIR,,ACTON,MA,"6 PATRICK HENRY CIR ACTON, MA",11/9/2017,3,3
1393062,6 POWDER HORN LN,,ACTON,MA,"6 POWDER HORN LN ACTON, MA",7/2/2012,3,3
7340743,60 NASHOBA RD,,ACTON,MA,"60 NASHOBA RD ACTON, MA",12/21/2017,3,3
7332339,609 NEWTOWN RD,,ACTON,MA,"609 NEWTOWN RD ACTON, MA",12/27/2016,3,3
7327947,61 POWDER MILL RD,,ACTON,MA,"61 POWDER MILL RD ACTON, MA",7/22/2016,3,3
7340413,612 MASSACHUSETTS AVE,,ACTON,MA,"612 MASSACHUSETTS AVE ACTON, MA",12/20/2017,2,2
7339871,64 LIBERTY ST,,ACTON,MA,"64 LIBERTY ST ACTON, MA",11/21/2017,3,3
7339984,64 WINDSOR AVE,,ACTON,MA,"64 WINDSOR AVE ACTON, MA",11/28/2017,3,3
7347881,67 SUMMER ST,,ACTON,MA,"67 SUMMER ST ACTON, MA",9/30/2018,3,3
7347883,7 LOTHROP RD,,ACTON,MA,"7 LOTHROP RD ACTON, MA",9/26/2018,3,3
1374101,7 PAUL REVERE RD,,ACTON,MA,"7 PAUL REVERE RD ACTON, MA",5/21/2009,3,3
1393073,7 PROSPECT ST,,ACTON,MA,"7 PROSPECT ST ACTON, MA",7/9/2012,3,3
1376922,7 THOREAU RD,,ACTON,MA,"7 THOREAU RD ACTON, MA",7/30/2009,3,3
5591032,70 ALCOTT ST,,ACTON,MA,"70 ALCOTT ST ACTON, MA",8/21/2015,3,3
191981,73 ROBBINS ST,,ACTON,MA,"73 ROBBINS ST ACTON, MA",5/22/2000,3,3
7327948,750 MAIN ST,,ACTON,MA,"750 MAIN ST ACTON, MA",7/25/2016,3,3
7339709,76 SCHOOL ST,,ACTON,MA,"76 SCHOOL ST ACTON, MA",11/13/2017,3,3
7347909,77 MAPLE ST,,ACTON,MA,"77 MAPLE ST ACTON, MA",9/20/2018,2,2
191682,8 CHEROKEE RD,,ACTON,MA,"8 CHEROKEE RD ACTON, MA",5/18/2000,3,3
7339983,8 CRAIG RD,,ACTON,MA,"8 CRAIG RD ACTON, MA",11/28/2017,3,3
7339520,8 FAIRWAY RD,,ACTON,MA,"8 FAIRWAY RD ACTON, MA",11/3/2017,3,3
290517,8 FRANCINE RD,,ACTON,MA,"8 FRANCINE RD ACTON, MA",5/30/2006,3,3
1392228,8 GIONCONDA AVE,,ACTON,MA,"8 GIONCONDA AVE ACTON, MA",7/13/2012,3,3
7349778,8 HIGH ST,,ACTON,MA,"8 HIGH ST ACTON, MA",12/20/2018,3,3
7332356,8 LILLIAN RD,,ACTON,MA,"8 LILLIAN RD ACTON, MA",2/25/2017,3,3
7340071,8 POWDER HORN LN,,ACTON,MA,"8 POWDER HORN LN ACTON, MA",11/9/2017,3,3
7339833,8 WILLIS HOLDEN DR,,ACTON,MA,"8 WILLIS HOLDEN DR ACTON, MA",11/7/2017,3,3
3673898,81 RIVER ST,,ACTON,MA,"81 RIVER ST ACTON, MA",9/5/2014,3,3
7340075,81 STOW ST,,ACTON,MA,"81 STOW ST ACTON, MA",11/28/2017,3,3
5201835,83 GREAT RD,,ACTON,MA,"83 GREAT RD ACTON, MA",7/24/2015,3,3
249845,84 NAGOG HILL RD,,ACTON,MA,"84 NAGOG HILL RD ACTON, MA",8/19/2003,3,3
193039,86 SCHOOL ST,,ACTON,MA,"86 SCHOOL ST ACTON, MA",6/14/2000,3,3
7339982,87 HAYWARD RD,,ACTON,MA,"87 HAYWARD RD ACTON, MA",11/30/2017,3,3
7340738,88 HIGH ST,,ACTON,MA,"88 HIGH ST ACTON, MA",12/21/2017,3,3
7340290,9 BRUCEWOOD RD,,ACTON,MA,"9 BRUCEWOOD RD ACTON, MA",12/5/2017,3,3
7341230,9 LILAC CT,,ACTON,MA,"9 LILAC CT ACTON, MA",1/21/2018,3,3
